epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,487.306,1.26758,0.86936,0.86175,0.60352,0.50281,0.56542,0.35905,1.42072,1.32298,0.94221,0.000396265,0.000396265,0.000396265
43,498.294,1.25645,0.85219,0.86698,0.59561,0.50445,0.55575,0.33629,1.47227,1.30973,0.93866,0.000389661,0.000389661,0.000389661
44,510.882,1.25621,0.84577,0.86091,0.591,0.51417,0.57005,0.36874,1.40861,1.27078,0.93561,0.000383058,0.000383058,0.000383058
45,520.962,1.20984,0.84272,0.86805,0.56716,0.49875,0.5614,0.3548,1.44914,1.36038,0.94328,0.000376455,0.000376455,0.000376455
46,531.031,1.23308,0.83224,0.85807,0.58057,0.5112,0.56477,0.36375,1.4374,1.32693,0.9509,0.000369851,0.000369851,0.000369851
47,541.258,1.19925,0.81405,0.85574,0.5306,0.51263,0.57572,0.36565,1.46719,1.33626,0.96735,0.000363248,0.000363248,0.000363248
48,551.241,1.17659,0.82155,0.86236,0.55264,0.52205,0.59696,0.38351,1.45789,1.33052,0.947,0.000356645,0.000356645,0.000356645
49,562.744,1.1565,0.80665,0.85927,0.64305,0.48089,0.58592,0.37549,1.46772,1.20638,0.95874,0.000350042,0.000350042,0.000350042
50,574.416,1.17523,0.78954,0.85616,0.57707,0.5273,0.57554,0.35605,1.45399,1.27823,0.94585,0.000343438,0.000343438,0.000343438
51,585.826,1.23568,0.82621,0.85677,0.57529,0.50215,0.57749,0.37528,1.4199,1.2686,0.93848,0.000336835,0.000336835,0.000336835
52,597.455,1.17817,0.78916,0.85248,0.6035,0.4668,0.56298,0.35738,1.43032,1.24095,0.94686,0.000330232,0.000330232,0.000330232
53,613.58,1.17443,0.80768,0.85189,0.57999,0.49427,0.56029,0.35211,1.44514,1.26648,0.94128,0.000323628,0.000323628,0.000323628
54,625.506,1.17272,0.79026,0.85573,0.62429,0.47724,0.55681,0.35172,1.443,1.31333,0.95223,0.000317025,0.000317025,0.000317025
55,636.932,1.18901,0.80202,0.84871,0.50593,0.50647,0.53503,0.33787,1.45565,1.33702,0.96289,0.000310422,0.000310422,0.000310422
56,647.865,1.18713,0.78244,0.84616,0.51337,0.573,0.57622,0.35968,1.43269,1.23251,0.94685,0.000303818,0.000303818,0.000303818
57,659.105,1.1561,0.75694,0.84669,0.4944,0.59261,0.57207,0.35972,1.45154,1.26457,0.9486,0.000297215,0.000297215,0.000297215
58,670.257,1.09434,0.76626,0.8506,0.54267,0.56074,0.58406,0.37245,1.47934,1.29755,0.96577,0.000290612,0.000290612,0.000290612
59,680.289,1.13922,0.7674,0.84888,0.55076,0.52827,0.57049,0.36196,1.44238,1.30633,0.9636,0.000284009,0.000284009,0.000284009
60,695.424,1.11407,0.76193,0.84565,0.56701,0.55948,0.57088,0.35966,1.45721,1.27457,0.96343,0.000277405,0.000277405,0.000277405
61,707.365,1.14875,0.75599,0.84429,0.56417,0.52515,0.57883,0.36401,1.42525,1.23533,0.9473,0.000270802,0.000270802,0.000270802
62,718.658,1.13027,0.74857,0.83984,0.55151,0.5266,0.57772,0.36738,1.43415,1.25815,0.94231,0.000264199,0.000264199,0.000264199
63,731.762,1.12864,0.74593,0.84643,0.55824,0.54673,0.57931,0.36398,1.43876,1.25156,0.94849,0.000257595,0.000257595,0.000257595
