epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04676,1.91001,4.42006,1.14891,0.00058,0.01163,0.0003,0.00021,1.77061,3.96996,1.11667,3.334e-05,3.334e-05,3.334e-05
2,4.93319,2.16605,4.53076,1.25407,0.00103,0.02326,0.00054,0.0003,1.77842,3.96614,1.1353,8.25248e-05,8.25248e-05,8.25248e-05
3,6.94986,1.85635,4.24161,1.14141,0.00498,0.13953,0.00319,0.00141,1.73657,3.92167,1.11637,0.000130719,0.000130719,0.000130719
4,8.99415,1.70217,3.78647,1.05485,0.00879,0.34884,0.01804,0.00754,1.69053,3.73648,1.02418,0.000177924,0.000177924,0.000177924
5,11.0652,1.76023,3.05512,1.02266,0.01048,0.56686,0.03692,0.01138,1.56455,3.61895,0.95987,0.000224138,0.000224138,0.000224138
6,13.1034,1.89601,2.15289,1.03886,0.01113,0.69186,0.04275,0.01361,1.62264,3.4713,0.97893,0.000269362,0.000269362,0.000269362
7,15.142,1.57988,1.87034,0.98571,0.00976,0.52035,0.02696,0.00915,1.59602,3.39418,0.99061,0.000313596,0.000313596,0.000313596
8,17.1165,1.53107,1.82296,0.98607,0.0092,0.39535,0.01974,0.0074,1.56956,3.37525,0.98237,0.00035684,0.00035684,0.00035684
9,19.4496,1.5455,1.67735,0.99682,0.00887,0.37209,0.01608,0.00734,1.54966,3.38765,0.99857,0.000399093,0.000399093,0.000399093
10,21.4263,1.53697,1.64076,0.98655,0.00897,0.33721,0.01279,0.00648,1.50841,3.38669,0.99147,0.000440356,0.000440356,0.000440356
11,23.4293,1.52019,1.57958,1.04937,0.01086,0.32558,0.01671,0.00982,1.5314,3.35644,1.01629,0.000480629,0.000480629,0.000480629
12,25.4133,1.46749,1.53335,0.97463,0.01171,0.32558,0.0173,0.01063,1.5455,3.36685,1.02107,0.000519912,0.000519912,0.000519912
13,27.4052,1.51794,1.49061,0.97347,0.01472,0.36047,0.01529,0.00767,1.51144,3.41495,0.98472,0.000558205,0.000558205,0.000558205
14,29.4477,1.43143,1.48788,0.98348,0.01375,0.34884,0.01511,0.00717,1.56561,3.36167,1.01795,0.000595507,0.000595507,0.000595507
15,31.4496,1.41716,1.39863,0.95544,0.01119,0.43895,0.02185,0.01035,1.58242,3.33459,1.04877,0.00063182,0.00063182,0.00063182
16,33.419,1.36294,1.23757,0.97111,0.01005,0.43895,0.02603,0.01337,1.60245,3.35031,1.03149,0.000667142,0.000667142,0.000667142
17,35.4137,1.42409,1.33862,0.96328,0.00944,0.45058,0.01909,0.00986,1.61937,3.3144,1.04187,0.000701474,0.000701474,0.000701474
18,37.396,1.28297,1.19411,0.9641,0.01105,0.63372,0.02548,0.01309,1.66444,3.18668,1.06624,0.000734815,0.000734815,0.000734815
19,39.4145,1.35273,1.21044,0.96746,0.01026,0.61047,0.02663,0.01359,1.68313,3.18351,1.07636,0.000767167,0.000767167,0.000767167
20,41.3844,1.35467,1.12015,0.95327,0.00997,0.39535,0.02251,0.01055,1.64111,3.24104,1.0583,0.000798528,0.000798528,0.000798528
21,43.3982,1.37237,1.22699,0.94362,0.00941,0.38372,0.01734,0.00812,1.58204,3.36562,1.0321,0.000828899,0.000828899,0.000828899
22,45.3838,1.45859,1.25172,0.97011,0.0087,0.34884,0.01476,0.00735,1.60492,3.35168,1.07597,0.00085828,0.00085828,0.00085828
23,47.3716,1.43764,1.29106,0.94555,0.00927,0.37209,0.01753,0.00916,1.6166,3.17032,1.08015,0.000886671,0.000886671,0.000886671
24,49.3717,1.26925,1.11655,0.95103,0.01036,0.4186,0.02809,0.01395,1.59569,3.00096,1.06668,0.000914071,0.000914071,0.000914071
25,51.3686,1.26366,1.06942,0.93374,0.01053,0.4186,0.0297,0.01615,1.55224,3.00288,1.05561,0.000940481,0.000940481,0.000940481
26,53.3529,1.27836,1.102,0.96264,0.01097,0.40698,0.02843,0.01512,1.56973,3.14743,1.05343,0.000965901,0.000965901,0.000965901
27,55.3402,1.30479,1.0376,0.93527,0.01281,0.56686,0.04998,0.02455,1.64298,2.98739,1.07901,0.000990331,0.000990331,0.000990331
28,57.3625,1.40302,1.13894,0.96854,0.01384,0.68023,0.0574,0.02827,1.71316,2.89949,1.09282,0.00101377,0.00101377,0.00101377
29,59.3698,1.32246,1.0602,0.94578,0.01384,0.68023,0.0574,0.02827,1.71316,2.89949,1.09282,0.00103622,0.00103622,0.00103622
30,61.3473,1.41171,1.17971,0.9434,0.01622,0.95349,0.10361,0.04999,1.74955,2.64067,1.11978,0.00105768,0.00105768,0.00105768
31,63.3277,1.25848,1.0544,0.95392,0.35972,0.23256,0.30893,0.15418,1.70113,2.45425,1.08758,0.00107815,0.00107815,0.00107815
32,65.3783,1.30341,1.04499,0.93888,0.45808,0.12714,0.34961,0.15705,1.68031,2.39609,1.07172,0.00109763,0.00109763,0.00109763
33,67.3911,1.35441,1.05727,0.95087,0.45808,0.12714,0.34961,0.15705,1.68031,2.39609,1.07172,0.00111612,0.00111612,0.00111612
34,69.4509,1.38376,1.02246,0.95875,0.91261,0.10465,0.33359,0.16416,1.77733,2.25826,1.13903,0.00112239,0.00112239,0.00112239
35,71.5213,1.32878,1.00953,0.94554,0.93888,0.08371,0.31502,0.16239,1.77407,2.30145,1.14207,0.00110589,0.00110589,0.00110589
36,73.5068,1.27257,1.01503,0.96397,0.88313,0.07658,0.27082,0.1382,1.74659,2.43523,1.13151,0.00108938,0.00108938,0.00108938
37,75.47,1.21924,1.04708,0.95066,0.88313,0.07658,0.27082,0.1382,1.74659,2.43523,1.13151,0.00107288,0.00107288,0.00107288
38,77.4588,1.18903,0.96203,0.89203,0.89461,0.21778,0.30406,0.1629,1.75152,2.05978,1.17419,0.00105638,0.00105638,0.00105638
39,79.4387,1.17422,0.93742,0.91603,0.87281,0.23868,0.31835,0.15618,1.77227,1.96732,1.17404,0.00103987,0.00103987,0.00103987
40,81.4288,1.32898,0.96194,0.94727,0.8918,0.30233,0.37014,0.16896,1.83086,1.85617,1.17999,0.00102337,0.00102337,0.00102337
41,83.7629,1.2791,0.92803,0.92065,0.8918,0.30233,0.37014,0.16896,1.83086,1.85617,1.17999,0.00100687,0.00100687,0.00100687
42,85.973,1.3378,1.04209,0.92735,0.86482,0.27907,0.35031,0.17092,1.78736,1.83289,1.16396,0.000990365,0.000990365,0.000990365
43,88.1371,1.20796,0.92822,0.9016,0.83644,0.23929,0.29008,0.15234,1.78254,1.88629,1.18576,0.000973861,0.000973861,0.000973861
44,90.2756,1.3583,0.98397,0.94355,0.84847,0.27907,0.27862,0.14241,1.79769,1.80057,1.21025,0.000957358,0.000957358,0.000957358
45,92.2896,1.19543,0.93576,0.92795,0.84847,0.27907,0.27862,0.14241,1.79769,1.80057,1.21025,0.000940855,0.000940855,0.000940855
46,94.466,1.22442,0.89982,0.91285,0.84828,0.27907,0.30989,0.16483,1.80752,1.71478,1.21503,0.000924352,0.000924352,0.000924352
47,96.5803,1.2457,0.90988,0.92088,0.81659,0.30233,0.41531,0.22614,1.79923,1.54432,1.2135,0.000907848,0.000907848,0.000907848
48,98.8489,1.16237,0.90897,0.95308,0.8039,0.34884,0.41805,0.24469,1.76067,1.35776,1.18152,0.000891345,0.000891345,0.000891345
49,101.087,1.27201,0.96852,0.95528,0.8039,0.34884,0.41805,0.24469,1.76067,1.35776,1.18152,0.000874842,0.000874842,0.000874842
50,103.317,1.24797,0.93128,0.92544,0.507,0.50872,0.46069,0.26238,1.73881,1.36211,1.14205,0.000858338,0.000858338,0.000858338
51,105.529,1.20909,0.8988,0.92124,0.52784,0.54845,0.5128,0.27844,1.71072,1.17529,1.12487,0.000841835,0.000841835,0.000841835
52,107.709,1.15026,0.83187,0.90044,0.46842,0.55523,0.59742,0.3313,1.69948,1.02894,1.10801,0.000825332,0.000825332,0.000825332
53,109.897,1.17284,0.86274,0.88415,0.46842,0.55523,0.59742,0.3313,1.69948,1.02894,1.10801,0.000808828,0.000808828,0.000808828
54,112.279,1.18269,1.00206,0.88528,0.44984,0.56897,0.59251,0.32867,1.70383,1.0089,1.10349,0.000792325,0.000792325,0.000792325
55,115.329,1.20859,0.85708,0.89251,0.50742,0.57241,0.60436,0.31569,1.72646,1.06002,1.10816,0.000775822,0.000775822,0.000775822
56,117.315,1.21632,0.8674,0.92581,0.52629,0.55858,0.59701,0.32104,1.71315,1.08983,1.10118,0.000759318,0.000759318,0.000759318
57,119.354,1.11372,0.88541,0.87684,0.52629,0.55858,0.59701,0.32104,1.71315,1.08983,1.10118,0.000742815,0.000742815,0.000742815
58,121.336,1.06976,0.82699,0.88863,0.50529,0.58458,0.60014,0.32348,1.70176,1.05863,1.0997,0.000726312,0.000726312,0.000726312
59,123.327,1.10917,0.86001,0.91437,0.46481,0.61709,0.60353,0.32201,1.68613,1.01154,1.10928,0.000709809,0.000709809,0.000709809
60,125.31,1.12245,0.84014,0.88335,0.42432,0.58258,0.6162,0.3365,1.71097,0.99029,1.12613,0.000693305,0.000693305,0.000693305
61,127.276,1.0789,0.78867,0.88558,0.42432,0.58258,0.6162,0.3365,1.71097,0.99029,1.12613,0.000676802,0.000676802,0.000676802
62,129.57,1.24702,0.9114,0.90834,0.41565,0.56686,0.58869,0.32524,1.71041,0.99598,1.13755,0.000660299,0.000660299,0.000660299
63,131.548,1.14037,0.84007,0.89968,0.46378,0.56686,0.51434,0.29139,1.67801,1.00067,1.13826,0.000643795,0.000643795,0.000643795
64,133.557,1.06362,0.76222,0.91677,0.4946,0.56848,0.51844,0.27585,1.67052,1.07178,1.14732,0.000627292,0.000627292,0.000627292
65,135.5,1.0583,0.81558,0.88833,0.4946,0.56848,0.51844,0.27585,1.67052,1.07178,1.14732,0.000610789,0.000610789,0.000610789
66,137.475,1.07644,0.81405,0.8888,0.49743,0.5436,0.50427,0.26901,1.70897,1.04196,1.16297,0.000594286,0.000594286,0.000594286
67,139.456,1.07659,0.79634,0.87371,0.51771,0.5436,0.50848,0.26776,1.72739,0.99662,1.17403,0.000577782,0.000577782,0.000577782
68,141.445,1.08167,0.77117,0.88496,0.54065,0.53198,0.55843,0.29026,1.7298,1.02015,1.1605,0.000561279,0.000561279,0.000561279
69,143.387,1.07911,0.81793,0.89253,0.54065,0.53198,0.55843,0.29026,1.7298,1.02015,1.1605,0.000544776,0.000544776,0.000544776
70,145.373,1.07359,0.74087,0.87813,0.60974,0.47384,0.54598,0.27111,1.79456,1.04889,1.17601,0.000528272,0.000528272,0.000528272
71,147.346,1.17077,0.82611,0.88549,0.64217,0.43895,0.5317,0.26698,1.77111,1.06177,1.15913,0.000511769,0.000511769,0.000511769
72,149.359,1.01903,0.76142,0.8599,0.63575,0.45058,0.52448,0.27146,1.70899,1.06336,1.13714,0.000495266,0.000495266,0.000495266
73,151.296,0.99504,0.73647,0.85955,0.63575,0.45058,0.52448,0.27146,1.70899,1.06336,1.13714,0.000478762,0.000478762,0.000478762
74,153.288,1.13071,0.78141,0.85018,0.64221,0.43895,0.49877,0.27798,1.68624,1.05686,1.13896,0.000462259,0.000462259,0.000462259
