epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,155.263,0.97875,0.74011,0.85007,0.6483,0.47497,0.4948,0.27217,1.68316,1.05725,1.14759,0.000445756,0.000445756,0.000445756
76,157.237,1.03898,0.72392,0.86736,0.65632,0.49617,0.49568,0.26441,1.69916,1.06002,1.14302,0.000429253,0.000429253,0.000429253
77,159.246,1.09989,0.80029,0.90545,0.65632,0.49617,0.49568,0.26441,1.69916,1.06002,1.14302,0.000412749,0.000412749,0.000412749
78,161.235,1.08187,0.7995,0.87769,0.66501,0.50631,0.51276,0.25738,1.75479,1.07809,1.15372,0.000396246,0.000396246,0.000396246
79,163.249,1.0251,0.74365,0.89404,0.66937,0.4975,0.5252,0.27013,1.7604,1.06755,1.16122,0.000379743,0.000379743,0.000379743
80,165.235,0.99439,0.72558,0.8783,0.69979,0.49709,0.52258,0.27094,1.72256,1.05702,1.11728,0.000363239,0.000363239,0.000363239
81,167.168,1.01868,0.69539,0.86454,0.69979,0.49709,0.52258,0.27094,1.72256,1.05702,1.11728,0.000346736,0.000346736,0.000346736
82,169.135,0.97522,0.70626,0.86786,0.69215,0.48286,0.53135,0.29616,1.68072,1.0542,1.10153,0.000330233,0.000330233,0.000330233
83,171.116,1.03031,0.73222,0.87721,0.68975,0.45058,0.53097,0.29501,1.64938,1.05399,1.09729,0.000313729,0.000313729,0.000313729
84,173.091,0.96509,0.70623,0.86682,0.50749,0.49663,0.52834,0.28744,1.70694,1.05933,1.14606,0.000297226,0.000297226,0.000297226
85,175.094,1.00861,0.71724,0.86883,0.50749,0.49663,0.52834,0.28744,1.70694,1.05933,1.14606,0.000280723,0.000280723,0.000280723
86,177.063,0.99233,0.72502,0.85972,0.48789,0.50424,0.54111,0.28438,1.71853,1.04299,1.15113,0.00026422,0.00026422,0.00026422
87,179.046,1.01863,0.72857,0.8677,0.48342,0.50835,0.53117,0.284,1.71359,1.01981,1.14612,0.000247716,0.000247716,0.000247716
88,181.029,1.00187,0.71407,0.84423,0.48873,0.50854,0.53022,0.297,1.70983,1.00826,1.14633,0.000231213,0.000231213,0.000231213
89,182.965,0.96785,0.73015,0.86199,0.48873,0.50854,0.53022,0.297,1.70983,1.00826,1.14633,0.00021471,0.00021471,0.00021471
90,184.979,0.99343,0.74932,0.86516,0.48769,0.49709,0.53032,0.29775,1.72514,0.99212,1.14654,0.000198206,0.000198206,0.000198206
91,202.286,1.00952,0.86144,0.89594,0.46945,0.53165,0.53736,0.30182,1.73621,0.99948,1.14062,0.000181703,0.000181703,0.000181703
92,204.259,0.98854,0.80432,0.87212,0.46247,0.53402,0.53998,0.30105,1.72681,0.99207,1.10829,0.0001652,0.0001652,0.0001652
93,206.189,0.93246,0.80138,0.88165,0.46247,0.53402,0.53998,0.30105,1.72681,0.99207,1.10829,0.000148696,0.000148696,0.000148696
94,208.153,1.01257,0.85901,0.89165,0.45018,0.53139,0.53935,0.31438,1.73084,1.00917,1.10716,0.000132193,0.000132193,0.000132193
95,210.104,0.99336,0.83864,0.87735,0.45219,0.53688,0.54234,0.28502,1.73875,1.01049,1.10873,0.00011569,0.00011569,0.00011569
96,212.076,0.94494,0.75418,0.86546,0.50392,0.47384,0.535,0.28522,1.73869,1.0163,1.10934,9.91865e-05,9.91865e-05,9.91865e-05
97,213.998,0.98715,0.80835,0.87231,0.50392,0.47384,0.535,0.28522,1.73869,1.0163,1.10934,8.26832e-05,8.26832e-05,8.26832e-05
98,215.955,1.03377,0.87815,0.87833,0.4974,0.46603,0.54211,0.29117,1.73109,1.00928,1.1091,6.61799e-05,6.61799e-05,6.61799e-05
99,217.914,0.97047,0.8497,0.85423,0.46986,0.50872,0.5463,0.29596,1.73178,1.00508,1.10798,4.96766e-05,4.96766e-05,4.96766e-05
100,219.914,1.04185,0.87029,0.88183,0.46432,0.52136,0.54905,0.29834,1.72499,1.00534,1.10519,3.31733e-05,3.31733e-05,3.31733e-05
